A1:1
C_LED1:1
C_i2C1:1
Cbst1:1
Cin1:1
Cout1:1
Cout2:1
D1:1
D2:1
E1:1
E2:1
F1:1
F2:1
J10:1
J2:1
J3:1
J4:1
J5:1
J7:1
J8:1
L1:1
POT1:1
POT2:1
POT3:1
POT4:1
Q1:1
Q2:1
Qw1:1
Qw2:1
Qw3:1
Qw4:1
R1:1
R2:1
R3:1
R4:1
R7:1
R8:1
R9:1
RBAT1:1
RBAT2:1
RCs1:1
RCs2:1
REF**:4
RSC0:1
RSC1:1
RSC2:1
RSC3:1
RSD0:1
RSD1:1
RSD2:1
RSD3:1
RSE1:1
RSE2:1
R_I2C_PULLUP1:1
R_LED1:1
R_MOTOR1:1
R_MTR1:1
R_MTR2:1
R_PWR1:1
R_PWR2:1
R_PWR_LED1:1
R_TFT1:1
R_ZVD_1:1
R_ZVD_2:1
Rfbb1:1
Rfbt1:1
SW1:1
SW2:1
SW3:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
