Designator,Mid X,Mid Y,Rotation,Layer
A1,62.045,-19.8738,0.0,top
C_LED1,33.504646,-77.8388,0.0,top
C_i2C1,93.35,-65.8388,0.0,top
Cbst1,51.02,-81.2588,0.0,top
Cin1,84.43,-31.9288,0.0,top
Cout1,84.43,-36.1788,0.0,top
Cout2,84.43,-40.4288,0.0,top
D1,92.99,-55.5488,0.0,top
D2,92.99,-58.1388,0.0,top
E1,79.17,-59.8788,0.0,top
E2,79.17,-71.1288,0.0,top
F1,44.58,-73.7088,0.0,top
F2,44.58,-76.9988,0.0,top
J10,52.36,-73.4288,0.0,top
J2,51.12,-46.8788,0.0,top
J3,51.12,-56.5788,0.0,top
J4,55.77,-56.5788,0.0,top
J5,60.42,-56.5788,0.0,top
J6,65.07,-56.5788,0.0,top
J7,69.72,-56.5788,0.0,top
J8,88.62,-56.5788,0.0,top
L1,88.48,-23.9288,0.0,top
POT1,55.77,-46.8788,0.0,top
POT2,60.42,-46.8788,0.0,top
POT3,65.07,-46.8788,0.0,top
POT4,69.72,-46.8788,0.0,top
Q1,88.93,-80.0723,0.0,top
Q2,94.365,-79.8788,0.0,top
Qw1,77.18,-21.1788,0.0,top
Qw2,77.18,-27.4288,0.0,top
Qw3,77.18,-33.6788,0.0,top
Qw4,77.18,-39.9288,0.0,top
R1,88.71,-30.7988,0.0,top
R2,88.71,-32.7888,0.0,top
R3,88.71,-34.7788,0.0,top
R4,88.71,-36.7688,0.0,top
RBAT1,88.71,-38.7588,0.0,top
RBAT2,88.71,-40.7488,0.0,top
RN1,93.345,-61.9088,0.0,top
R_I2C_PULLUP1,91.62,-30.7988,0.0,top
R_LED1,91.62,-32.7888,0.0,top
R_MOTOR1,91.62,-34.7788,0.0,top
R_PWR1,91.62,-36.7688,0.0,top
R_TFT1,91.62,-38.7588,0.0,top
R_ZVD_1,91.62,-40.7488,0.0,top
R_ZVD_2,94.53,-30.7988,0.0,top
Rfbb1,94.53,-32.7888,0.0,top
Rfbt1,94.53,-34.7788,0.0,top
S1,76.02,-80.2738,0.0,top
SW1,88.32,-71.0788,0.0,top
U1,39.4,-43.78,0.0,top
U2,93.335,-49.2388,0.0,top
U3,44.875,-80.8688,0.0,top
U4,80.12,-48.0788,0.0,top
