Designator,Mid X,Mid Y,Rotation,Layer
A1,144.27,-96.57,0.0,top
C_LED1,33.504646,-77.8388,0.0,top
C_i2C1,93.35,-65.8388,0.0,top
Cbst1,51.02,-81.2588,0.0,top
Cin1,190.525,-60.0,0.0,top
Cout1,183.525,-52.0,0.0,top
Cout2,180.0,-62.0,0.0,top
D1,92.99,-55.5488,0.0,top
D2,92.99,-58.1388,0.0,top
E1,79.17,-59.8788,0.0,top
E2,79.17,-71.1288,0.0,top
F1,44.58,-73.7088,0.0,top
F2,44.58,-76.9988,0.0,top
J10,262.0,-116.08,90.0,top
J2,51.12,-46.8788,0.0,top
J3,51.12,-56.5788,0.0,top
J4,55.77,-56.5788,0.0,top
J5,60.42,-56.5788,0.0,top
J6,65.07,-56.5788,0.0,top
J7,69.72,-56.5788,0.0,top
J8,88.62,-56.5788,0.0,top
L1,196.0,-79.0,0.0,top
POT1,55.77,-46.8788,0.0,top
POT2,60.42,-46.8788,0.0,top
POT3,120.5,-77.0,0.0,top
POT4,112.0,-100.5,0.0,top
Q1,88.93,-80.0723,0.0,top
Q2,94.365,-79.8788,0.0,top
Qw1,77.18,-21.1788,0.0,top
Qw2,77.18,-27.4288,0.0,top
Qw3,77.18,-33.6788,0.0,top
Qw4,77.18,-39.9288,0.0,top
R1,88.71,-30.7988,0.0,top
R2,88.71,-32.7888,0.0,top
R3,88.71,-34.7788,0.0,top
R4,88.71,-36.7688,0.0,top
R7,113.67,-42.04,0.0,top
R8,113.67,-44.03,0.0,top
R9,113.67,-46.02,0.0,top
RBAT1,88.71,-38.7588,0.0,top
RBAT2,88.71,-40.7488,0.0,top
RCs1,113.67,-48.01,0.0,top
RCs2,113.67,-50.0,0.0,top
RSC0,113.67,-51.99,0.0,top
RSC1,113.67,-53.98,0.0,top
RSC2,116.58,-42.04,0.0,top
RSC3,116.58,-44.03,0.0,top
RSD0,116.58,-46.02,0.0,top
RSD1,116.58,-48.01,0.0,top
RSD2,116.58,-50.0,0.0,top
RSD3,116.58,-51.99,0.0,top
RSE1,116.58,-53.98,0.0,top
RSE2,119.49,-42.04,0.0,top
R_I2C_PULLUP1,91.62,-30.7988,0.0,top
R_LED1,91.62,-32.7888,0.0,top
R_MOTOR1,91.62,-34.7788,0.0,top
R_MTR1,119.49,-44.03,0.0,top
R_MTR2,119.49,-46.02,0.0,top
R_PWR1,119.49,-48.01,0.0,top
R_PWR2,119.49,-50.0,0.0,top
R_PWR_LED1,91.62,-36.7688,0.0,top
R_TFT1,91.62,-38.7588,0.0,top
R_ZVD_1,91.62,-40.7488,0.0,top
R_ZVD_2,94.53,-30.7988,0.0,top
Rfbb1,94.53,-32.7888,0.0,top
Rfbt1,94.53,-34.7788,0.0,top
SW1,106.99,-30.22,0.0,top
SW2,106.99,-39.77,0.0,top
SW3,158.5,-132.5,0.0,top
U1,127.0,-132.6,90.0,top
U2,93.335,-49.2388,0.0,top
U3,44.875,-80.8688,0.0,top
U4,80.12,-48.0788,0.0,top
U5,119.3175,-28.97,0.0,top
U6,119.3175,-37.02,0.0,top
